video_id,channel_id,category_id
0V8q7kPAKEs,UCckltLEhFLv8Xz_lQhYfwmg,25
0vBio6PcxoA,UCrjQG1gLZ4cDwIzrGA5pRBw,22
0vco9S2NXaI,UCn0XmAUFv6d2tofMFEesSNw,24
0w_BDygym9Y,UCwXfRdTtVeVnXXF4poaYw0Q,19
0waRvchdL1M,UCCK3OZi788Ok44K97WAhLKQ,25
0wJCSs5Kj9s,UC0PdkCm3QlHJ8HdH4JeNirA,20
0wQ5HeJxAjM,UCckltLEhFLv8Xz_lQhYfwmg,25
0XbH3Ro-Tjk,UCc8W1zUTmtNqXIhOHxPIAuw,27
0XjXOtb6af0,UCckltLEhFLv8Xz_lQhYfwmg,25
0Y5zdNEN7VM,UCEuz_HGv5er0LZsztjO4g5Q,24
0YFmaKnLpc4,UCltN1illHSguno1gokRShxA,26
0zBPaAR0-Sg,UCckltLEhFLv8Xz_lQhYfwmg,25
0zcZuE1i51A,UCwKYO2L9xzLtWhSv4ncYCIA,22
0zhHLYOB7-c,UCMQYRNX1Fg-HJ8Ey7Z3WPrA,24
0zLCdjRoOTo,UCckltLEhFLv8Xz_lQhYfwmg,25
0zOu1r3l82w,UCk6Bzr5M-8n_KN2guSmWmMw,22
0ZUdfCTVY9k,UCn0XmAUFv6d2tofMFEesSNw,24
1_xk3ZngetE,UCh9qXeL8eP3Txra2908xksg,10
1-ySEJ2VdIg,UCOLdaAcrdzYY3ug15EuuFAg,26
10TbDNM6c0U,UCCK3OZi788Ok44K97WAhLKQ,25
12SO-X5veLw,UCckltLEhFLv8Xz_lQhYfwmg,25
13bQnCpp4RQ,UC9U2IYFVPd-Hl6zAeZQL7eQ,22
13hhqUVhc9U,UCckltLEhFLv8Xz_lQhYfwmg,25
13RfhPbEkbY,UCckltLEhFLv8Xz_lQhYfwmg,25
13ts-l41G6g,UCgnFSj7jQffD5V5m05j4dPw,22
148zpZxy_WY,UCMQYRNX1Fg-HJ8Ey7Z3WPrA,24
14kRUlY-Nn4,UCwXfRdTtVeVnXXF4poaYw0Q,19
17WcaIMddkM,UCYG2PZN2DImFqoTcj983iqA,24
18S8Z7jzyls,UCcpCelkp30ukU3ZKUXsU25g,24
18wOQj-ErOQ,UC7hqTC-ChL-_PUKhctTt50A,19
19P4D8R0Sa8,UCnirzf0fEAPfQV__61iwSQQ,20
1aB1f4xH20I,UC8irIP66QzlZNVgqe4vwN9g,10
1ag3SmKLbTU,UC8irIP66QzlZNVgqe4vwN9g,10
1AJOvge5SNk,UCd3VsafChPVXeIufCAzCprA,27
1aQzFXYzyp0,UCdY0SS4tZPdWdQ6m5bX-ZBg,24
1aWfGxm0Cpo,UCdTL_n9uC2_DlLX7ohcKpVQ,24
1AWW8QEde6Y,UCckltLEhFLv8Xz_lQhYfwmg,25
1aYbtKOkQNU,UCc8W1zUTmtNqXIhOHxPIAuw,27
1b2tiftMfjM,UCjK3LREYZUrNKnk56Prhe4w,29
1BErL1PxSn4,UCdTL_n9uC2_DlLX7ohcKpVQ,27
1BXmufkDidQ,UCh9qXeL8eP3Txra2908xksg,10
1CmBhJki_Uc,UCCK3OZi788Ok44K97WAhLKQ,25
1crjUPAKGc8,UCCK3OZi788Ok44K97WAhLKQ,25
1CU4-Um7oNA,UCckltLEhFLv8Xz_lQhYfwmg,25
1d0pzTb6E_Y,UC4UaWbUUwVvCxWNqhb4f16Q,22
1d98apLW3kI,UCVwbUjoiTUXxeVjsxW9Kwng,10
1da3w9d9BBA,UCkysZsPin4y9iQHS-QYygeQ,20
1Fc0e9whqOo,UCckltLEhFLv8Xz_lQhYfwmg,25
1fO6hotV780,UCrjQG1gLZ4cDwIzrGA5pRBw,22
1FX5sc3I_AE,UCEa6e_J_Xs_GKCzG8Eq15Xw,24
1G9roeWTR4Y,UCckltLEhFLv8Xz_lQhYfwmg,25
1hNYEDXuYQg,UCDO8zlJiV9ZgaMMK2DyX1Dw,17
1hovrKzI7Sk,UC-ss1l2vO46QAgyCsPRIVDA,27
